species	common name
Macaca fascicularis	Crab-eating macaque
Macaca mulatta	Macaque
Macaca nemestrina	Pig-tailed macaque
Malurus cyaneus samueli	Superb fairywren
Manacus vitellinus	Golden-collared manakin
Mandrillus leucophaeus	Drill
Marmota marmota marmota	Alpine marmot
Mastacembelus armatus	Zig-zag eel
Maylandia zebra	Zebra mbuna
Meleagris gallopavo	Turkey
Melopsittacus undulatus	Budgerigar
Meriones unguiculatus	Mongolian gerbil
Mesocricetus auratus	Golden Hamster
Microcebus murinus	Mouse Lemur
Microtus ochrogaster	Prairie vole
Mola mola	Ocean sunfish
Monodelphis domestica	Opossum
Monodon monoceros	Narwhal
Monopterus albus	Swamp eel
Moschus moschiferus	Siberian musk deer
Mus caroli	Ryukyu mouse
Mus musculus	Mouse
Mus musculus 129s1svimj	Mouse 129S1/SvImJ
Mus musculus aj	Mouse A/J
Mus musculus akrj	Mouse AKR/J
Mus musculus balbcj	Mouse BALB/cJ
Mus musculus c3hhej	Mouse C3H/HeJ
Mus musculus c57bl6nj	Mouse C57BL/6NJ
Mus musculus casteij	Mouse CAST/EiJ
Mus musculus cbaj	Mouse CBA/J
Mus musculus dba2j	Mouse DBA/2J
Mus musculus fvbnj	Mouse FVB/NJ
Mus musculus lpj	Mouse LP/J
Mus musculus nodshiltj	Mouse NOD/ShiLtJ
Mus musculus nzohlltj	Mouse NZO/HlLtJ
Mus musculus pwkphj	Mouse PWK/PhJ
Mus musculus wsbeij	Mouse WSB/EiJ
Mus pahari	Shrew mouse
Mus spicilegus	Steppe mouse
Mus spretus	Algerian mouse
Mustela putorius furo	Ferret
Myotis lucifugus	Microbat
Myripristis murdjan	Pinecone soldierfish
Naja naja	Indian cobra
Nannospalax galili	Upper Galilee mountains blind mole rat
Neogobius melanostomus	Round goby
Neolamprologus brichardi	Lyretail cichlid
Neovison vison	American mink
Nomascus leucogenys	Gibbon
Notamacropus eugenii	Wallaby
Notechis scutatus	Mainland tiger snake
Nothobranchius furzeri	Turquoise killifish
Nothoprocta perdicaria	Chilean tinamou
Numida meleagris	Helmeted guineafowl
Ochotona princeps	Pika
Octodon degus	Degu
Oncorhynchus kisutch	Coho salmon
Oncorhynchus mykiss	Rainbow trout
Oncorhynchus tshawytscha	Chinook salmon
Oreochromis aureus	Blue tilapia
Oreochromis niloticus	Nile tilapia
Ornithorhynchus anatinus	Platypus
Oryctolagus cuniculus	Rabbit
Oryzias javanicus	Javanese ricefish
Oryzias latipes	Japanese medaka HdrR
Oryzias latipes hni	Japanese medaka HNI
Oryzias latipes hsok	Japanese medaka HSOK
Oryzias melastigma	Indian medaka
Oryzias sinensis	Chinese medaka
Otolemur garnettii	Bushbaby
Otus sunia	Oriental scops-owl
Ovis aries	Sheep (texel)
Ovis aries rambouillet	Sheep
Pan paniscus	Bonobo
Pan troglodytes	Chimpanzee
Panthera leo	Lion
Panthera pardus	Leopard
Panthera tigris altaica	Tiger
Papio anubis	Olive baboon
Parambassis ranga	Indian glassy fish
Paramormyrops kingsleyae	Paramormyrops kingsleyae
Parus major	Great Tit
Pavo cristatus	Indian peafowl
Pelodiscus sinensis	Chinese softshell turtle
Pelusios castaneus	West African mud turtle
Periophthalmus magnuspinnatus	Periophthalmus magnuspinnatus
Peromyscus maniculatus bairdii	Northern American deer mouse
Petromyzon marinus	Lamprey
Phascolarctos cinereus	Koala
Phasianus colchicus	Ring-necked pheasant
Phocoena sinus	Vaquita
Physeter catodon	Sperm whale
Piliocolobus tephrosceles	Ugandan red Colobus
Podarcis muralis	Common wall lizard
Poecilia formosa	Amazon molly
Poecilia latipinna	Sailfin molly
Poecilia mexicana	Shortfin molly
Poecilia reticulata	Guppy
Pogona vitticeps	Central bearded dragon
Pongo abelii	Sumatran orangutan
Procavia capensis	Hyrax
Prolemur simus	Greater bamboo lemur
Propithecus coquereli	Coquerel's sifaka
Pseudonaja textilis	Eastern brown snake
Pteropus vampyrus	Megabat
Pundamilia nyererei	Makobe Island cichlid
Pygocentrus nattereri	Red-bellied piranha
Rattus norvegicus	Rat
Rattus norvegicus shrspbbbutx	Rat - SHRSP/BbbUtx
Rattus norvegicus shrutx	Rat - SHR/Utx RGD_8142385
Rattus norvegicus wkybbb	Rat - WKY/Bbb RGD_1581635
Rhinolophus ferrumequinum	Greater horseshoe bat
Rhinopithecus bieti	Black snub-nosed monkey
Rhinopithecus roxellana	Golden snub-nosed monkey
Saccharomyces cerevisiae	Saccharomyces cerevisiae
Saimiri boliviensis boliviensis	Bolivian squirrel monkey
Salarias fasciatus	Jewelled blenny
Salmo salar	Atlantic salmon
Salmo trutta	Brown trout
Salvator merianae	Argentine black and white tegu
Sander lucioperca	Pike-perch
Sarcophilus harrisii	Tasmanian devil
Sciurus vulgaris	Eurasian red squirrel
Scleropages formosus	Asian bonytongue
Scophthalmus maximus	Turbot
Serinus canaria	Common canary
Seriola dumerili	Greater amberjack
Seriola lalandi dorsalis	Yellowtail amberjack
Sinocyclocheilus anshuiensis	Blind barbel
Sinocyclocheilus grahami	Golden-line barbel
Sinocyclocheilus rhinocerous	Horned golden-line barbel
Sorex araneus	Shrew
Sparus aurata	Gilthead seabream
Spermophilus dauricus	Daurian ground squirrel
Sphaeramia orbicularis	Orbiculate cardinalfish
Sphenodon punctatus	Tuatara
Stachyris ruficeps	Rufous-capped babbler
Stegastes partitus	Bicolor damselfish
Strigops habroptila	Kakapo
Strix occidentalis caurina	Northern spotted owl
Struthio camelus australis	African ostrich
Suricata suricatta	Meerkat
Sus scrofa	Pig
Sus scrofa bamei	Pig - Bamei
Sus scrofa berkshire	Pig - Berkshire
Sus scrofa hampshire	Pig - Hampshire
Sus scrofa jinhua	Pig - Jinhua
Sus scrofa landrace	Pig - Landrace
Sus scrofa largewhite	Pig - Largewhite
Sus scrofa meishan	Pig - Meishan
Sus scrofa pietrain	Pig - Pietrain
Sus scrofa rongchang	Pig - Rongchang
Sus scrofa tibetan	Pig - Tibetan
Sus scrofa usmarc	Pig USMARC
Sus scrofa wuzhishan	Pig - Wuzhishan
Taeniopygia guttata	Zebra finch
Takifugu rubripes	Fugu
Terrapene carolina triunguis	Three-toed box turtle
Tetraodon nigroviridis	Tetraodon
Theropithecus gelada	Gelada
Tupaia belangeri	Tree Shrew
Tursiops truncatus	Dolphin
Urocitellus parryii	Arctic ground squirrel
Ursus americanus	American black bear
Ursus maritimus	Polar bear
Ursus thibetanus thibetanus	Asiatic black bear
Varanus komodoensis	Komodo dragon
Vicugna pacos	Alpaca
Vombatus ursinus	Common wombat
Vulpes vulpes	Red fox
Xenopus tropicalis	Tropical clawed frog
Xiphophorus couchianus	Monterrey platyfish
Xiphophorus maculatus	Platyfish
Zalophus californianus	California sea lion
Zonotrichia albicollis	White-throated sparrow
Zosterops lateralis melanops	Silver-eye
